photo,moderation,import,vues,telechargements,jaime,evenement,titre,mots_cles
23414382,retenue,2024-05-04,11920,103,4,non,Cityscape of Niort,"architecture, blue sky, cathedral, christianity, church, city, city landmark, city view, cityscape, cloudy sky, Eglise Notre-Dame De Niort, europe, france, french architecture, gothic, gothic architecture, greenery, heritage, historic, landmark, landscape, landscape photography, niort, nouvelle-aquitaine, outdoor, religion, religious, river, spires, spirituality, stone building, tourism, travel, travel destination, trees, urban, urban scenery"
34793920,retenue,2025-11-18,11593,29,1,non,Close-up Portrait of a House Sparrow,"animal portrait, avian, beak, beige, bird, bird feathers, bird in profile, birds, birdwatching, bokeh background, brown color, brown plumage, calm, close-up, cream, daytime, earthy tones, feathers, free-range, freedom, freedom concept, grey background, house sparrow, hue, innocence, natural habitat, nature, nature photography, ornithology, outdoors, passer domesticus, passerine, peaceful, perching, portrait, resting bird, serie, side view, small bird, songbird, sparrow, tone on tone, tranquility, wild animal, wild bird, wildlife, wildlife photography"
23414383,retenue,2024-05-04,11177,31,1,non,Wooden Bench During Autumn,"autumn, backlit, beautiful, bench, brown, bushes, calm, country, elegant, empty bench, environment, europe, fall, fall colors, foliage, forest edge, france, golden, landscape, leaves, leisure, natural, nature, niort, nouvelle-aquitaine, outdoor scene, outdoor seating, outdoors, park, relaxation, relaxing spot, rural, rustic, scenic, seasonal, serene, sitting area, tranquil, warm, weekend, wood, wooden, yellow"
34956321,retenue,2025-11-27,10236,28,0,non,Seagull Perched on a Stone Cross Against Sky,"abstract, artistic, baleful, bird, black, black and white, calm, contrast, cross, dead, elegance, environment, feather, freedom, gray, gull, isolated, landmark, minimalist, monument, moody, nature, ocean, outdoors, peaceful, penalty, perched, plumage, quiet, sad, scenery, sea, seagull, serenity, sky, solitude, spirituality, stone, structure, symbolic, texture, tone, urban, vintage, weathered, white, wildlife, wing"
35086239,retenue,2025-12-06,10037,47,0,non,Vibrant Wildflower Field in Bloom,"biodiversity, blooming, botanical, countryside, daisy, ecology, environment, field, field of flowers, flora, floral, flower, flowering plants, freedom, fuentealvilla, garden, green, greenery, growth, habitat, healing plants, landscape, margarita, meadow, meadows, native plants, natural beauty, natural space, nature, nature scenery, outdoors, rural, seasonal, seasonal flowers, spanish daisies, spanish names, spring, summer, temperate climate, vegetation, white flowers, wild, wild garden, wildflower field, wildflower meadow, wildflowers, yellow centers"
33035661,retenue,2025-07-16,9902,57,3,non,Stunning View of Niort Cathedral in Summer,"ancient, architecture, blue sky, building, cadre, cathedral, church, cityscape, daylight, ecclesiastical, eglise, engineering, environment, europe, faith, foi, foliage, france, french, gothic, greenery, heritage, historic, historical, landmark, landscape, monument, nature, niort, niort cathedral, nouvelle-aquitaine, outdoor, photography, place of worship, religion, scenery, sightseeing, skyline, spires, spirituality, stone, summer, tourism, town, townscape, travel, trees, urban, vegetation, viewpoint, village"
34793918,retenue,2025-11-18,9860,33,1,non,Sparrow on Rock with Soft Background,"animal portrait, avian, avian species, background, beige, bird, birds, brown, brown color, close up, cream, elegant bird, feathered, free-range, freedom, freedom concept, hue, natural habitat, natural setting, nature, neutral tones, outdoors, passeridae, perched, portrait, rock, serie, small animal, small bird, soft focus, solo, sparrow, sparrow bird, stone, swift bird, tone on tone, wild bird, wildlife"
32053231,retenue,2025-05-12,9056,27,1,non,"Historic Church Architecture in Angers, France","angers, architecture, blue, brickwork, building, cathedral, church, cityscape, clear sky, crossing, crossover, crossroad, crosswalk, cultural, destination, empty, empty street, europe, european, exterior, facade, frame, france, french, french architecture, gothic, heritage, historic, historical, intersection, iphone capture, landmark, monument, outdoors, pays de la loire, romanesque revival, saint-maurice cathedral, sightseeing, spire, stone, street, tourism, tourist attraction, tower, travel, urban"
34894970,retenue,2025-11-23,7898,32,2,non,Scenic View of Granville's Coastal Lighthouse,"adventure, architecture, blue, boats, chausey, cloudy, coast, day, europe, exploration, fishing, france, french coast, granville, green, harbor, holiday, houses, idyllic, island, island life, isolated, isolated place, landscape, lighthouse, maritime, nature, normandie, normandy, ocean, outdoors, photography, picturesque, recluse, rocky, sailing, sailing ships, sea, seaside, sky, summer, tourism, tranquil, travel, vacation, village, water"
34342149,retenue,2025-10-17,7844,11,0,non,Moody Black and White Autumn Rowboat Scene,"artistic, autumn, background, barque, black and white, black and white art, boat, calm, contrast, creative, deciduous, environment, fall, forest, lake, landscape, leaves, melancholic, minimalist, monochrome, moody, natural, nature, nautical, outdoors, pattern, peaceful, photography, planks, quiet, reflection, rowboat, sad, scene, seasonal, serene, silent, solitude, stillness, texture, tranquil, transportation, trees, water, weather, wilderness, wood, woodland"
34894969,retenue,2025-11-23,7772,9,0,non,"Pyramidal Landmark by Sea in Chausey, France","architecture, atlantic, atlantic ocean, beautiful, boating, chausey, chausey islands, coastal, coastline, colorful, destination, environment, europe, european, flora, france, geographical, green, greenery, historical, island, isolated, isolated place, isolation, landmark, landscape, living, maritime, moss, natural, nature, normandy, outdoors, photography, picturesque, pyramid, recluse, relaxation, rocky, sailing, sailing ships, scenic, sea, seasonal, serenity, shoreline, stone, tourism, tranquility, travel, triangle, vacation, vegetation, warm, water"
34939467,retenue,2025-11-26,7170,5,1,non,Lighthouse on Rocky Shore in Saint-Planchers,"bucolic, building, calm, charming, cloudy, coastal, coastline, crude, day, europe, far away, france, french, grass, grassland, idyllic, isolated, landmark, landscape, lighthouse, maritime, minimalist, natural, nautical, navigation, normandy, northwestern france, ocean, outdoors, quaint, rocks, rocky shore, rustic, saint-planchers, scene, seacoast, seashore, seaside, serene, serie, simple, soothing, structure, tranquil, water"
35024039,retenue,2025-12-02,6808,24,1,non,Majestic Rock Formation Under Blue Sky,"blue sky, boulders, cloud patterns, cloudy sky, daytime, earth tones, erosion, geologic, geology, granite rocks, hiking destination, isolated, landscape, long, natural landscape, natural monument, nature, nature exploration, nature photography, ocean, outdoor adventure, outdoor lifestyle, outdoors, rock formation, rocky, rocky landscape, rugged rocks, rugged terrain, scenic view, sea, sedimentary rocks, slow, solid rocks, stacked rocks, stone formation, stone textures, stones, tranquil scenery, tranquility, travel destination, weather, weathered, weathered stones, wilderness"
33035642,retenue,2025-07-16,6675,15,1,non,Imposing Skyscraper Against Cloudy Paris Sky,"aesthetic, architecture, building, business district, capital city, city architecture, cityscape, clouds, cloudy sky, commercial architecture, corporate, downtown, écrasant, eiffel region, elevation, europe, european city, exterior design, financial hub, france, french architecture, futuristic, glass exterior, glass facade, height, high-rise, Île-de-France, landmark, metropolitan, modern design, modern france, monument, office building, paris, progressive design, skyscraper, steel structure, symmetry, tall structure, tour montparnasse, towering, urban decor, urban landscape, urban photography, urban planning, urban skyline, vertical, vertical lines"
34500332,retenue,2025-10-29,6328,6,0,non,Monochrome Urban Scene Through Historic Archway,"arch, architecture, architecture photography, bicycle, black and white, building facade, built environment, car, city, city life, cobblestone, contextual contrast, contrast, cycling, cyclist, depth, elevation, entrance, european architecture, exterior, frame, gate, gray tone, historic, historic archway, monochrome, movement, no people, outdoor, pavement, perspective, photography, static, stone structure, stone wall, street, street photography, texture, timeless, town, transportation, urban exploration, urban life, urban scene, vehicular, vintage feel, window"
34500328,retenue,2025-10-29,5546,8,0,non,Classic Riverside House amidst Dense Forest,"architecture, black and white, calm, classic view, countryside, dense forest, foliage, forest, greenery, house, idyllic, isolated, isolated house, landscape, lush, monochrome, natural beauty, nature, nature retreat, outdoor serenity, outdoors, peaceful, peaceful setting, picturesque, quiet, reflection, river, riverside, rural, scenic, secluded, serene, serenity, tranquil, tranquility, trees, vegetation, water, waterfront, wooded area, woodland"
38536480,retenue,2026-07-12,5428,33,0,non,Casual Portrait in Outdoor Café Setting,"adult male, afternoon, beard, beverage, blurred background, café, casual, casual attire, city life, coffee shop, daylight, friendly expression, glasses, iced drink, leisure, lifestyle, male, midday light, outdoor, outdoors, portrait, refreshment, relaxation, relaxed atmosphere, sit down, smiling, street, street scene, summertime, sunglasses, tea, urban background, urban lifestyle, urban setting, white shirt"
34956322,retenue,2025-11-27,5373,8,0,non,Abandoned Rowboat on Rocky Shore in Black and White,"abandoned, aged, artistic, beach, black and white, boats, built, classic, coastal, desolate, dock, empty, isolated, isolated object, maritime, minimalist, monochrome, moody, natural, nautical, peaceful, quiet, readable, retro, rocky shore, rope, rowboat, sailing ships, sea, seascape, shore, single, solitude, standing still, still life, stranded, textures, tide, timeless, traditional, vintage, watercraft, weathered"
36170132,retenue,2026-02-15,5310,6,1,non,"Flooded Canal with Ducks in Niort, France","anas platyrhynchos, bridge, city life, cityscape, concrete bridge, concrete structure, daytime, deadpan, duck, ducks, ecosystem, europe, european city, flood, flooded canal, flooding, flooding impact, floodplain, floodwaters, france, hydrology, instant, landscape, mallard duck, natural habitat, nature, naturelle, niort, nouvelle-aquitaine, outdoors, overflow, rain, reflection, resilience, river, riverbank, souvenir, spring, stormwater, trees, urban flooding, urban landscape, urban nature, urban wildlife, water, water level, water management, waterway, wetland, wildlife"
34908867,retenue,2025-11-24,5268,14,1,non,Coastal House on Rocky Shores of France,"architecture, blue roof, breeze, building, chausey, chausey island, cliff, coastal, coastal living, coastline, combination of colors, europe, foliage, france, french, granite, greenery, house, idyllic, island, isles, isolated, landscape, marine, maritime, natural beauty, nature, northwest, ocean, ocean view, outdoor, overcast, picturesque, reef, remote, remote house, rocks, rocky shore, rustic, sea, seascape, seaside, serene, sketchy, tranquil, tranquility, trees, vegetation, view, waves, wildlife"
38694057,retenue,2026-07-23,5104,15,1,non,Elegant Parterre in Villandry Gardens,"aerial view, beautiful gardens, botanical architecture, bushes, Centre-Val de Loire, château de villandry, elegant garden, europe, european gardens, european heritage, formal garden, fountain garden, france, france tourism, french garden, french landscape, garden architecture, garden art, garden artistry, garden path, garden symmetry, garden tourism, gardening, geometric garden, green spaces, greenery, hedge maze, heritage, heritage site, heritage tourism, historical gardens, historical site, horticultural art, horticulture, kitchen garden, landscape design, landscaping, loire valley, ornamental garden, outdoor design, parterre, pergola, sculpted plants, summer garden, symmetrical patterns, topiary, tourism, trimmed hedges, vegetable garden, village, villandry, villandry gardens"
34939469,retenue,2025-11-26,4846,12,0,non,Dramatic Coastal Rock Formation in Normandie,"adventure, around the world, blue water, cliff, coast, coastal, earth, europe, explore, france, france shoreline, french coast, geological, geology, jags, landmark, landscape, majestic, marine, marine life, natural beauty, natural structure, nature, nature photography, normandie, ocean, ocean waves, outdoors, peace, peaceful, relaxation, rock formation, rocky shore, sea, sea spray, seascape, serenity, splash, spume, stone, streaks, tourism, tranquil, travel, vacation, water, waves, weathered rocks, western europe"
34939468,retenue,2025-11-26,4620,8,0,non,Scenic Boat View Near Rocky French Coastline,"adventure, aquatic, blue sea, boat, breathtaking, calm ocean, calm waters, cloudy day, coastal, europe, european coast, exploration, finding, fishing, france, french landscape, french shore, getaway, holiday, inshore, isolated, journey, landscape, majestic, marine, marine travel, natural beauty, nature, nautical, navigation, ocean, ocean adventure, outdoors, peaceful, relaxation, remote, rocky coastline, sailing, scenery, sea, seafarer, serenity, shoreline, tourism, tranquil, travel, vessel, voyage, watercraft, waves"
38536481,retenue,2026-07-12,4599,50,0,non,Smiling Man with Glasses Portrait Outdoors,"adult, bokeh, calm, casual, casual wear, close-up, comfort, content, daytime, expression, eyeglasses, eyewear, facial hair, fashion, glasses, goatee, grooming, happy, headsho, headshot, joy, latin, lifestyle, male, man, mature, modern, natural light, outdoors, outside, peaceful, personal style, pleasant, portrait, positive, relaxed, relaxed mood, serene, smiling, sunny, urban, white shirt"
38694051,retenue,2026-07-23,3835,18,1,non,Elegant Gardens of Château de Villandry,"aerial view, agricultural landscaping, botanical, Centre-Val de Loire, château de villandry, cultural heritage, daylight, decorative hedges, elegant gardens, elevated view, europe, european chateau, formal garden, france, french architecture, french countryside, garden pathways, gardens, geometric garden, green, greenery, heritage, historic landmark, historic site, horticultural excellence, horticulture, kitchen garden, landmarks, landscape design, landscaped garden, lavender, luxurious estate, manicured lawns, nature, outdoor beauty, outdoors, parterre, summer, summer garden, symmetrical garden, topiary, tourist attraction, village, villandry"
38536476,retenue,2026-07-12,3638,16,0,non,Relaxed Urban Portrait in a Coffee Shop Setting,"beard, beverage, bokeh, calm, casual, casual look, casual setting, casual wear, city backdrop, city leisure, coffee shop, confidant, contentment, cool vibe, daytime, drink, enjoyment, facial hair, glasses, headsho, leisure, leisure activity, lifestyle, male, man, modern lifestyle, optical glasses, outdoor cafe, outdoor relaxation, outdoor seating, personal time, portrait, portrait photography, public space, reflection, refreshment, relaxation, sitting, smile, summer, thoughtful, thoughtfulness, urban, urban backdrop, urban life, urban setting, warm weather, white shirt"
38536478,retenue,2026-07-12,3589,44,1,non,Casual Portrait of a Man with Glasses,"adult, approachable, beard, bokeh background, calm, casual, casual attire, charming, clear complexion, close-up, collected, confidant, confidence, dark hair, expression, eyewear, facial hair, friendly, gentle expression, glasses, headsho, headshot, identity, individual, indoors, introspective, latin, lifestyle, male, man, minimalist, modern, mustache, natural light, personal style, personality, poised, portrait, relaxation, relaxed, smiling, soft colors, soft focus, soft lighting, white background, white shirt"
34762346,retenue,2025-11-16,3565,4,0,non,Charming Medieval Wooden Doorway with Lantern,"ancient, antique, architectural detail, building design, charming, classic, cottage, cottagecore, craftsmanship, cultural, door, doorway, entrance, europe, european, exterior, france, french style, handcrafted, heritage, historic, historic architecture, lantern, lantern light, lumber tiles, medieval, minimal, nostalgic, patina, peaceful, quaint, roof shingles, rustic, serene, simple, simplicity, structure, textured tiles, timber cladding, timber frame, traditional, unadorned, vintage, wood, wooden door, wooden handle, woodgrain, woodwork"
38536477,retenue,2026-07-12,3379,24,0,non,Casual Outdoor Portrait of a Man with Iced Drink,"ambient light, beard, beverage, bokeh, calm, candid, casual, coffee shop, confident, cool drink, cultural diversity, day, expression, facial hair, fashion, fashionable, glasses, headsho, iced drink, latin, leisure, lifestyle, man, modern lifestyle, modern look, outdoor cafe, outdoors, personal style, portrait, refreshing drink, relaxed, relaxed atmosphere, short hair, smile, soft drink, spectacles, street photography, summer, urban, white shirt"
38694055,retenue,2026-07-23,3058,23,0,non,"Intricate Gardens at Château de Villandry, France","aerial view, aristocratic estate, artistic landscape, botanical, botanical tourism, central france, Centre-Val de Loire, château de villandry, cultural heritage, design, druye, elegance, europe, formal gardens, france, french architecture, french gardens, french heritage, garden artistry, gardening, gardens, geometric patterns, greenery, hedges, heritage, historical site, horticulture, landscape architecture, landscape design, luxury, manicured garden, natural beauty, nature, outdoor design, outdoors, pattern, plants, posy, public gardens, symmetry, topiary, tourism, tourist attraction, travel, trimmed bushes, villandry"
38694047,retenue,2026-07-23,2929,43,1,non,"Villandry Gardens in Summer, France","architecture, attraction, botanical, bushes, Centre-Val de Loire, château de villandry, cultural, design, elegance, europe, european, exterior, formal garden, france, french garden, gardening, greenery, hedges, heritage, historical site, horticulture, landmark, landscape architecture, landscape design, lush, manicured, nature, outdoor, pathway, pattern, scenic, sightseeing, summer, symmetry, topiary, tourism, travel, trees, villandry, villandry gardens"
38279504,retenue,2026-06-25,2761,6,1,non,"Historical Hotel De Ville in Niort, France","architecture, building exterior, city hall, city hall niort, cityhall, classic facade, classical architecture, europe, european architecture, european city, european culture, european flags, european union flag, facade, france, france travel, french architecture, french flags, french heritage, french landmark, government architecture, government building, heritage site, historic facade, historic site, historical building, hotel de ville, hotel de ville niort, landmamrk, landmark, main square, municipal building, niort, niort france, nouvelle aquitaine, nouvelle-aquitaine, old city, ornate facade, public building, public square, stone architecture, stone carving, stone railing, stone steps, street lamp, tourism, travel destination, urban landscape, urban scene, window details"
34354424,retenue,2025-10-18,2737,26,1,non,Serene Autumn Day in Niort's Scenic Park,"architecture, autumn, blue sky, cathedral, church, europe, european architecture, fall foliage, france, garden, gardens, historic buildings, lamp post, landmark, landscape, nature, niort, niort cathedral, nouvelle-aquitaine, orange, orange leaves, outdoors, park, pathway, picturesque, scenic, serene, spires, touristic, travel, trees, urban park, walking path"
38694056,retenue,2026-07-23,2691,23,1,non,"Intricate Gardens of Château de Villandry, France","baroque garden, beautiful garden, botanical, Centre-Val de Loire, château de villandry, classic garden, cultural heritage, day, elegant design, europe, european heritage, famous garden, formal garden, formal landscaping, france, french chateau, french garden, french history, garden art, garden maze, garden symmetry, geometric gardens, greenery, heritage, historic site, historical landmark, horticultural design, horticulture, iconic garden, landmark, landscape design, landscaped garden, luxury gardens, manicured lawns, maze, nature, ornamental hedge, outdoor, parterre garden, renaissance architecture, summer, symmetrical design, topiary, tourist attraction, travel destination, villandry"
38694060,retenue,2026-07-23,2613,15,0,non,Stunning Château de Villandry Gardens in France,"architecture, botanical, Centre-Val de Loire, château de villandry, daytime, decorative, ecosystem, europe, european garden, famous gardens, flowerbeds, formal garden, france, french gardens, garden, geometric, green, greenery, hedge, heritage, historic, historic site, horticultural, horticulture, kitchen garden, landmark, landscape, lush, manicured, natural beauty, nature, ornamental garden, outdoor garden, outdoors, panorama, parterre, pathways, pergola, plants, scenic, sightseeing, summer, symmetry, topiary, tourism, travel, vegetable garden, village, villandry"
38781489,retenue,2026-07-29,2567,14,1,oui,Elegant Gold Wedding Rings with Gemstone Accent,"anniversary, artistic, beautiful, bokeh, celebration, ceremony, classic, close-up, commitment, couple, decorative, elegance, emerald, engagement, fabric, fashion accessory, focus, gemstone, gift, gold color, gold rings, green stone, highlight, intimate, jewelry, jewelry design, love, luxury, macro, marriage, metal, metalwork, minimalist, ornament, pair, precious stone, romance, romantic, shiny, sparkle, symbolism, texture, together, two rings, wedding band, wedding jewelry, wedding rings"
38561990,retenue,2026-07-14,2555,7,0,non,Close-up Portrait of Man with Thoughtful Expression,"adult, blurred background, bokeh, casual, cigarette, cineamtic, close-up, contemplative, daylight, depth of field, detail, emotion, expression, face, gentle tone, glance, head, headsho, headshot, human, human being, individual, introspective, lifestyle, male, male portrait, man, mature, mid-thirties, minimalist, modern, natural light, neutral colors, outdoor, person, photography, portrait, portrait photography, profile, relaxed, resting face, serious, sharp focus, soft lighting, thoughtful, tuxedo, undistracted, young adult"
35168742,retenue,2025-12-12,2488,4,0,non,"Historic Clock Tower in Mayenne, France","architectural design, architecture, bell tower, building, church spire, church tower, clock, clock face, clock tower, cultural site, daytime, europe, european architecture, exterior, facing front, france, french architecture, french countryside, gothic design, green foliage, greenery, heritage site, historic, historic building, historical, historical landmark, landmark, landscape, light stone, mayenne, nature, old building, orientale, outdoors, overcast sky, pays de la loire, photography, rural france, scenic, secular tower, stock photo, stone architecture, symmetrical design, top of tree, tower, tower clock, travel, trees, urban landscape, vertical structure, village"
38694059,retenue,2026-07-23,2386,17,1,non,Aerial View of Villandry's Iconic Kitchen Garden,"aerial view, agricultural art, artful landscaping, botanical beauty, botanical garden, Centre-Val de Loire, château de villandry, creative gardening, cultural heritage, daytime, ecosystem, environmental beauty, europe, european garden, famous gardens, flora, formal garden, france, french garden, french heritage, garden architecture, garden design, garden layout, garden pathways, garden tourism, gardening art, geometric pattern, green plants, green space, greenery, heritage, heritage site, historical garden, horticultural, horticultural attraction, horticulture, kitchen garden, landscape architecture, landscape design, ornamental garden, outdoor, perovskia, plant beds, railings, restorative landscape, summer, symmetrical garden, vegetable garden, villandry, visually appealing"
38694052,retenue,2026-07-23,2309,21,0,non,"Elegant French Garden at Villandry, France","architecture, Centre-Val de Loire, château de villandry, classical, countryside, cultural, culture, daytime, decorative, design, elegant, europe, european gardens, fountain, france, french garden, french style, gardens, greenery, heritage, heritage site, historic, horticulture, landmark, landscape architecture, landscaped, landscaping, lush, manicured, nature, nature photography, outdoors, park, plants, summer, symmetry, topiary, tourism, tourist attraction, travel, vegetation, village, villandry, water feature"
38536694,retenue,2026-07-12,2215,4,0,non,Pensive Man Smoking a Cigarette Outdoors,"adult, background, blurred lights, bokeh, casual, cigarette, cineamtic, contemplation, cultural, depth of field, emotion, everyday moment, expression, focus, fresh air, habit, half profile, headsho, human face, individual, lifestyle, light contrast, male, man, minimalist setting, modern theme, moody atmosphere, natural lighting, natural skin tone, obverse, outdoors, personal style, portrait, reflective, smoking, soft focus, station wagon, street photography, subtle colors, summer, thoughtful, tuxedo, urban, urban lifestyle"
38279508,retenue,2026-06-25,2154,20,0,non,Elegant French Prefecture Building Façade,"administration, architecture, artistic, batiment, blue, building, cityscape, classic, columns, cultural, detail, elegant, entrance, etablissement, europe, european, facade, flag, france, french, gate, government, heritage, historic, historic architecture, identity, landmamrk, landmark, municipal, national, niort, nouvelle-aquitaine, office, official, ornate, prefecture, public, red, regional, statue, stone, structure, symmetrical, travel, tricolor, tricolour, urban, white, windows"
8297886,refusée,2021-06-11,1950,8,1,oui,"Free stock photo of abandoned, atmosphere, evening","abandoned, atmosphere, evening, historically, locomotive, railway, train"
10187408,refusée,2021-11-09,1827,11,1,non,,
