anglais,chinois
blooms,花朵
blossom,花开
blue,蓝色
blue and pink,蓝粉色
blue and pink sky,蓝粉色天空
blue background,蓝色背景
blue cup,蓝色杯子
blue eyes,蓝眼睛
blue flowers,蓝色花朵
blue haze,蓝色薄雾
blue hour,蓝调时刻
blue hull,蓝色船体
blue light,蓝光
blue mountains,蓝色山脉
blue netting,蓝色网
blue plate,蓝色盘子
blue roof,蓝色屋顶
blue sea,蓝色大海
blue sky,蓝天
blue t-shirt,蓝色T恤
blue tones,蓝色调
blur,模糊
blurred,模糊
blurred background,背景虚化
blurred crowd,模糊人群
blurred foreground,前景虚化
blurred lights,模糊灯光
blurred people,模糊人影
blurred silhouettes,模糊剪影
blurred walkers,虚化的行人
board,木板
board game,桌游
boardwalk,木栈道
boat,船
boat trip,乘船游览
boat wake,船尾浪
boats,船只
bodega,酒窖
bois,木头
bokeh,焦外虚化
bonjour,你好
book,书
book lover,爱书人
book mark,书签
book spines,书脊
book stack,书堆
bookmark,书签
books,书籍
bookshelf,书架
bordeaux,波尔多
border collie,边境牧羊犬
botanic,植物
botanical,植物
botanical garden,植物园
botany,植物学
bottle,瓶子
bougainvillea,三角梅
boulder,巨石
boulders,巨石
bouquet,花束
bourgogne-franche-comte,勃艮第-弗朗什-孔泰
bovine,牛
bowl,碗
boxwood,黄杨
boxwood hedges,黄杨树篱
boxwood parterre,黄杨花坛
boy,男孩
bracelet,手链
bracken,欧洲蕨
brambles,黑莓丛
branch,树枝
branches,树枝
bread,面包
bread slices,面包片
break room,休息室
breakfast,早餐
breakfest,早餐
breaking,破碎
breaking waves,拍岸浪
breakwater,防波堤
breccia,角砾岩
bretagne,布列塔尼
brick,砖
brick building,砖楼
brick pastry,薄饼皮
brick wall,砖墙
bridge,桥
bridge pillars,桥墩
bridge railing,桥栏杆
briefcase,公文包
bright,明亮
bright colors,鲜艳色彩
bright light,明亮光线
bright sky,明亮天空
brightsun,明亮阳光
bristles,鬃毛
british,英式
brittany,布列塔尼
broken,破碎
broken chain,断链
broken white,米白色
bronze sculpture,青铜雕塑
bronze statue,青铜雕像
bronze statues,青铜雕像
brook,小溪
brouter,吃草
brown,棕色
brown algae,褐藻
brown color,棕色
brown eyes,棕色眼睛
brown leaves,棕色叶子
brunch,早午餐
brunette,棕发
brutalist,粗野主义
buche,木柴
bud,花苞
buddha,佛陀
buddha statue,佛像
budding,含苞待放
buffalo mozzarella,水牛马苏里拉奶酪
building,建筑
building exterior,建筑外观
building facade,建筑立面
buildings,建筑物
bulb lamp,灯泡灯
bulwark,壁垒
burr grinder,锥刀磨豆机
bus stop,公交站
buses,公交车
bush,灌木
busking,街头表演
busy street,繁忙街道
butter,黄油
buzy,繁忙
cafe terrace,咖啡馆露台
café,咖啡馆
cairn,石堆
cake,蛋糕
cake slice,蛋糕切块
calculation sheet,计算表
calf,小牛
calm,平静
calm sea,平静的海
calm water,平静的水面
calming vibes,宁静氛围
calystegia sepium,旋花属植物
camel,骆驼
camel head,骆驼头
camera,相机
camera movement,相机移动
camino de santiago,圣地亚哥朝圣之路
camouflage,伪装
camping chairs,露营椅
campus,校园
canal,运河
candelabra,烛台
candid,抓拍
candle,蜡烛
candle flames,烛焰
candle jar,杯装蜡烛
candlelight,烛光
candles,蜡烛
candy,糖果
candy pack,糖果包装
canele,可露丽
canele de bordeaux,波尔多可露丽
caneles,可露丽甜点
cannon,大炮
cannon barrel,炮管
canon eos 5d,佳能EOS 5D
canopy,树冠
cap,帽子
capital,柱头
capitals,柱头
cappuccino,卡布奇诺
car,汽车
car interior,车内
car parked,停放的汽车
carafe,玻璃水瓶
caramelized crust,焦糖外壳
carcass,残骸
cardboard,纸板
caregiver,照顾者
carpet,地毯
carreaux,瓷砖
cars,汽车
carved altar,雕刻祭坛
carved panel,雕刻镶板
carved wood,雕花木
cascade,跌水
cast iron,铸铁
castle,城堡
castle grounds,城堡庭院
casual,休闲
casual gathering,休闲聚会
casual style,休闲风格
cat,猫
cat face,猫脸
cat paw,猫爪
cat portrait,猫咪肖像
cat profile,猫的侧脸
cat running,奔跑的猫
catenary pole,接触网电杆
cathedral,大教堂
cathedral architecture,大教堂建筑
cathedrals beach,大教堂海滩
catholic church,天主教堂
cattle,牛群
cctv,监控摄像头
celadon,青瓷
celebration,庆祝
celebratory art,庆典艺术
celestial,天体
celestial event,天文事件
center,中心
centranthus,距药草
centre-val de loire,中央-卢瓦尔河谷大区
ceramic plate,陶瓷盘
ceramics,陶瓷
cerastium,卷耳
cereal,谷物
cereal crop,谷类作物
chains,链条
chair,椅子
chairs,椅子
chaleur,炎热
chaleureux,温暖
chamber,房间
champs,田野
chapel,小教堂
charcuterie,熟食拼盘
charente,夏朗德
charente river,夏朗德河
charisma,魅力
charolais,夏洛莱牛
charolais cow,夏洛莱牛
chausey,肖塞群岛
chausey island,肖塞群岛
chausey islands,肖塞群岛
chausey lighthouse,肖塞灯塔
checkered shirt,格子衬衫
cheek,脸颊
cheese,奶酪
chemin,小路
cherry tomato,樱桃番茄
cherub,小天使
chervil,细叶芹
chesse,奶酪
chevelure,秀发
cheveux longs,长发
chicken breast,鸡胸肉
childhood,童年
children,儿童
chill atmosphere,惬意氛围
chilly,微凉
chimney,烟囱
chimney pots,烟囱帽
chimneys,烟囱
chinese chopsticks,中式筷子
chinese tea,中国茶
chip,薯片
chocolate,巧克力
chopped,切碎
choppy sea,波涛起伏的海面
chopsticks,筷子
chouchou,发圈
christ,基督
christ statue,基督雕像
christian,基督教
christianity,基督教
christmas,圣诞节
christmas atmosphere,圣诞氛围
christmas bauble,圣诞球
christmas decoration,圣诞装饰
christmas decorations,圣诞装饰
christmas eve,平安夜
christmas gifts,圣诞礼物
christmas lights,圣诞灯饰
christmas market,圣诞市集
christmas party,圣诞派对
christmas presents,圣诞礼物
christmas shopping,圣诞购物
christmas tree,圣诞树
christmas tree top,圣诞树顶
chrome,镀铬
chromosphere,色球层
church,教堂
church interior,教堂内部
church spire,教堂尖顶
church towers,教堂塔楼
church window,教堂窗户
château de villandry,维朗德里城堡
ciel,天空
ciel nuageux,多云天空
cigarette,香烟
cinema,电影院
cinematic,电影感
circuits,电路
circular arcs,圆弧
cirrus clouds,卷云
citrus crate,柑橘箱
city,城市
city bus,城市公交
city center,市中心
city centre,市中心
city hall,市政厅
city illumination,城市灯光
city life,城市生活
city street,城市街道
cityhall,市政厅
cityscape,城市景观
civic monument,城市纪念碑
class,课堂
classic,经典
classical architecture,古典建筑
classical sculpture,古典雕塑
clay court,红土球场
clay figurine,陶土摆件
clean energy,清洁能源
clear,清澈
clear bauble,透明圣诞球
clear blue sky,晴朗蓝天
clear glass bulb,透明玻璃灯泡
clear sky,晴朗天空
clear water,清澈的水
clients,客户
cliff,悬崖
cliff erosion,悬崖侵蚀
cliffs,悬崖
climbing plant,攀缘植物
climbing plants,攀援植物
clock,时钟
clock face,钟面
clock tower,钟楼
clockwork,钟表机械
cloister,回廊
close focus,近距对焦
close up,特写
close-up,特写
closed eyes,闭眼
cloud,云
cloud formation,云层
cloud reflections,云的倒影
clouds,云朵
cloudscape,云景
cloudy,多云
cloudy skies,多云天空
cloudy sky,多云天空
clover,三叶草
coast,海岸
coastal,沿海
coastal architecture,海岸建筑
coastal cliff,海岸悬崖
coastal cliffs,海岸悬崖
coastal excursion,海岸游览
coastal landscape,海岸风景
coastal life,海滨生活
coastal wildlife,海岸野生动物
coastline,海岸线
coat rack,衣帽架
cobblestone walkway,石板步道
cobblestones,鹅卵石路面
cocktail bar,鸡尾酒吧
cocktail drink,鸡尾酒
coffee,咖啡
coffee accessories,咖啡器具
coffee art,咖啡拉花
coffee beans,咖啡豆
coffee break,咖啡时间
coffee grinder,磨豆机
coffee lover,咖啡爱好者
coffee mug,咖啡杯
coffee preparation,咖啡制作
coffee shop,咖啡店
cognac,干邑
cognac town hall,干邑市政厅
cogwheel,齿轮
cold,寒冷
cold brew,冷萃咖啡
cold drink,冷饮
coldair,冷空气
collectible,收藏品
collection,收藏
collection of books,藏书
collie,柯利牧羊犬
colonnade,柱廊
colonne,柱子
color,颜色
color gradient,渐变色
color grading,调色
colorful,多彩
colorful buildings,彩色建筑
colorful fabric,彩色织物
colorful flower beds,彩色花坛
colorful glass,彩色玻璃
colorful lines,彩色线条
colorful smoke,彩色烟雾
colors,色彩
column,柱子
columns,柱子
comfort,舒适
comfort food,治愈系美食
commemoration,纪念
commitment,承诺
common pheasant,环颈雉
communication,沟通
communism,共产主义
communist,共产主义者
commuter train,通勤列车
commuting,通勤
compact car,小型汽车
comparison,对比
composition,构图
compost,堆肥
conceptual,概念
concert,演唱会
concrete,混凝土
concrete bridge,混凝土桥
concrete staircase,混凝土楼梯
concrete steps,混凝土台阶
confectionery,甜品
confectionery art,甜品艺术
confidence,自信
confident,自信
conifer,针叶树
constellations,星座
construction,施工
construction barriers,施工护栏
contemplation,沉思
contemplative,沉思
contemporary,现代
contemporary sculpture,现代雕塑
contemporary stained glass,现代彩色玻璃
content,满足
contrail,尾迹云
contrails,飞机尾迹
contrast,对比
cool,冷色调
copper cookware,铜制炊具
copper pans,铜锅
copy space,留白
corbels,托架
cordyline,朱蕉
corinthian columns,科林斯柱
cormorant colony,鸬鹚群
cormorants,鸬鹚
corn,玉米
corn cob,玉米棒
corn field,玉米地
corn leaves,玉米叶
cornflower petals,矢车菊花瓣
corridor,走廊
corrugated roof,波纹屋顶
corvid,乌鸦
cosmos,宇宙
cosmos bipinnatus,波斯菊
cosmos flower,波斯菊
coucou,嗨
country lane,乡间小路
country path,乡间小路
country terrine,乡村肉酱
country walk,乡间散步
countryside,乡村
couple,情侣
courage,勇气
courtyard,庭院
covered courtyard,有顶庭院
covid 19 photo,新冠疫情照片
covid19,新冠疫情
cow,奶牛
cows,奶牛
cozy,舒适
crack,裂缝
crackled,龟裂
craft,手工艺
crane,起重机
crashing waves,拍岸浪花
crawfish,小龙虾
cream,奶油色
cream colour,奶油色
cream roses,奶油色玫瑰
cream sauce,奶油酱汁
creamy soup,奶油浓汤
creative,创意
creative art,创意艺术
creative composition,创意构图
creek,小溪
creek bed,溪床
creeping,悄悄穿行
crepuscular rays,云隙光
crescent,新月
crescent moon,新月
crescent sun,日牙
crest,山脊
crevice,裂缝
crew,船员
crispy parcel,酥脆卷
crop,农作物
cross,十字架
cross shape,十字形
crossing lines,交叉线条
crosswalk,人行横道
croutons,面包丁
crowd,人群
crude,粗糙
crumble,酥粒
crusty bread,脆皮面包
crystals,水晶
cuckoo clock,布谷鸟钟
cuddly toy,毛绒玩偶
cultural center,文化中心
culture,文化
cumulus clouds,积云
cup,杯子
curb,路缘
curiosity,好奇
curious,好奇
curly,卷曲
curly hair,卷发
current,水流
curtain,窗帘
curtain wall,幕墙
curved building,弧形建筑
curved metal,弯曲金属
curves,曲线
cushion,靠垫
cute,可爱
cute animal,可爱动物
cute animals,可爱动物
cute feline,可爱猫咪
cutting board,砧板
cycling,骑行
cyclist,骑行者
cypress knees,膝根
daily life,日常生活
daisies,雏菊
dalle,石板
damascus,大马士革
damier,棋盘格
damsons,西洋李
dandelions,蒲公英
dappled light,斑驳光影
dark,黑暗
dark background,黑色背景
dark blue,深蓝色
dark clouds,乌云
dark forest background,黑暗森林背景
dark green plants,深绿色植物
dark landscape,黑暗风景
dark sky,黑暗天空
dark water,暗色水面
darkened sky,昏暗天空
darkening sky,渐暗天空
darkness,黑暗
dashboard,仪表盘
daylight,日光
daylily,萱草
daymark,航标
daytime,白天
dazzling,耀眼
dazzling sun,耀眼阳光
de luxe,豪华
dead,死亡
dead leaves,枯叶
dead wood,枯木
deadend,死胡同
decay,凋零
december,十二月
decor,装饰
decoration,装饰
deep black,深黑色
deep blue sky,深蓝天空
deep sky,深邃天空
deesse,女神
deformation,变形
degital photo,数码照片
degraded,破旧
delicate,精致
delicate petals,精致花瓣
deluxe,豪华
demonstration,示威游行
dense vegetation,茂密植被
desaturated,去饱和
deserted street,空荡的街道
design,设计
desk,书桌
dessert,甜点
dessin,素描
detail,细节
detail shot,细节特写
detailed,精细
detailed shot,细节特写
deux-sevres,德塞夫勒省
development,发展
devotional,虔诚
diagonal,对角线
diagonal line,对角线
diagonal lines,斜线
diamond helmet,钻石头盔
diamond lattice,菱形格纹
diamond pattern,菱形图案
diamond shape,菱形
diffused light,柔和光线
digital,数码
dim light,昏暗光线
dining,用餐
dinner,晚餐
dinner plate,餐盘
diorama,立体模型
dirt path,土路
dirt road,土路
dish,菜肴
distant mountain,远山
distant peak,远处山峰
distant view,远景
distortion,扭曲
disturbing,令人不安
disused railway,停用铁路
dive boat,潜水船
dividing,分割
diy craft,手工艺
dock,码头
documentary,纪实
dog,狗
dolmen,支石墓
dome,圆顶
domestic,家用
domestic animal,家畜
domestic cat,家猫
dominoes,多米诺骨牌
donostia,圣塞巴斯蒂安
door,门
door frame,门框
doorway,门口
dormer windows,老虎窗
dos,背影
double decker bus,双层巴士
doudou,安抚玩偶
doux,柔和
downtown,市中心
downward gaze,低头凝视
dragon,龙
drainpipe,落水管
dramatic clouds,壮观的云
dramatic coastline,壮观海岸线
dramatic light,戏剧性光线
dramatic scenery,壮丽景色
dramatic shadows,强烈阴影
dramatic sky,戏剧性天空
drapes,帷幔
drawing,绘画
dream,梦想
dreamy,梦幻
dried,干燥
dried branches,干枯树枝
dried flowers,干花
dried plant,干枯植物
drink,饮料
drinks,饮品
driving,驾驶
dromedary,单峰驼
drooping branches,下垂的枝条
drunkenness,醉酒
druye,Druye
dry creek,干涸溪流
dry grass,干草
dry leaves,干叶
duck,鸭子
duck breast,鸭胸
dusk,黄昏
dusk lighting,黄昏光线
dusk sky,黄昏天空
dusk-like light,黄昏般光线
duvet,羽绒被
dwelling,住所
dynamic,动感
découverte,探索
détente,放松
early spring,早春
earphone,耳机
ears,耳朵
earth,地球
earthy tones,大地色调
east,东方
ecclesiastical architecture,教会建筑
ecclesiastical art,宗教艺术
echinops,蓝刺头
eclipse,日食
eclipse 2026,2026日食
ecology,生态
edible flowers,可食用花
edition,版本
education,教育
eerie atmosphere,诡异氛围
effect,效果
effort,努力
eft,蝾螈幼体
eglise notre-dame,圣母教堂
eglise notre-dame de niort,尼奥尔圣母教堂
eiffel tower,埃菲尔铁塔
elderly man,老人
elected official,民选官员
electric wire,电线
electricity,电力
elegance,优雅
elegant,优雅
elevated view,高处视角
elf hero,精灵英雄
emblematic,标志性
embossed logo,浮雕标志
emerald,祖母绿
emergency,紧急情况
emotion,情感
empty,空无一人
empty interior,空荡室内
enclosed,封闭
encounter,邂逅
energy,能量
energy infrastructure,能源设施
engaing,引人入胜
engin de chantier,工程机械
england,英格兰
english,英国
english channel,英吉利海峡
engraved ring,刻字戒指
engraving,雕刻
entrance,入口
entryway,入口通道
environment,环境
epee,剑
equine,马
erosion,侵蚀
escalator,扶梯
escape,出游
espoir,希望
ethereal,空灵
eucalyptus,桉树
eucalyptus forest,桉树林
europe,欧洲
european,欧洲
european architecture,欧洲建筑
european bird,欧洲鸟类
european cuisine,欧式美食
european street,欧洲街道
european suburb,欧洲郊区
european travel,欧洲旅行
euskadi,巴斯克地区
evening,傍晚
evening drive,傍晚驾车
evening light,傍晚光线
evening sky,傍晚天空
evergreen,常绿
evergreen shrub,常绿灌木
evergreen tree,常绿树
everyday,日常
everyday life,日常生活
everyday objects,日常用品
exception,例外
exchange,交流
exhibition,展览
exotic,异域风情
experimental,实验性
experimental photography,实验摄影
exploration,探索
exposed roots,裸露的根
expression,表情
extérieur,户外
exuberant,繁茂
eye,眼睛
eyes,眼睛
eyewear,眼镜
f1 4,f/1.4
fabric,布料
fabrics,织物
facade,立面
facades,立面
face masks,口罩
face to face,面对面
face-down tiles,背面朝上的牌
factory,工厂
faded,褪色
faded colors,褪色色调
fair weather,晴朗天气
fairy,仙女
fairy figurine,仙女摆件
fairy lights,串灯
faith,信仰
faithful companion,忠实伙伴
fall,秋天
fall colors,秋色
fall leaves,秋叶
fallen leaves,落叶
fallen log,倒木
fallen tree,倒下的树
family,家庭
family bike ride,家庭骑行
family meal,家庭聚餐
familyfriendly,适合家庭
famous landmark,著名地标
fanions,三角旗
fantasy,幻想
far away,遥远
farm,农场
farm animal,农场动物
farm animals,农场动物
farm building,农场建筑
farm field,农田
farmer,农民
farmer women,女农民
farmhouse,农舍
farming,农业
farmland,农田
farmyard,农家院
fashion,时尚
feathered animal,鸟类
feathered wings,羽翼
feathers,羽毛
feline,猫科动物
femme,女人
fence,栅栏
fence posts,栅栏柱
fennel flowers,茴香花
ferns,蕨类植物
ferris wheel,摩天轮
ferry,渡轮
festival,节日
festive,节日气氛
festive season,节日季
feuilles,树叶
field,田野
fielet,渔网
fiesta,庆典
figure,人物
figures,人影
figurine,手办
filament,灯丝
film look,胶片质感
film plastique,塑料薄膜
filter coffee,滤泡咖啡
finding,发现
fine dining,高级料理
fir,冷杉
fir branches,冷杉枝
fir cone,冷杉球果
fire,火
fire hose,消防水带
fire hydrant,消防栓
fireworks,烟花
first of may,五一劳动节
first plan,前景
fish,鱼
fish ladder,鱼道
fisherman,渔夫
fisherman's cottage,渔民小屋
fisheye,鱼眼镜头
fishing,钓鱼
fishing boat,渔船
fishing gear,渔具
fishing net,渔网
fishing rod,钓竿
fishing tradition,捕鱼传统
flag,旗帜
flag display,旗帜展示
flagpole,旗杆
flags,旗帜
flamboyant gothic,火焰式哥特
flame,火焰
flare,光晕
flashing light,闪光
flat bottomed boats,平底船
flat lay,平铺摄影
fleur,花
fleurs,花朵
fleuve,河流
flight,飞行
flood,洪水
flooded canal,水淹运河
floodlight,泛光灯
flora,植物群
floraison,花期
floral,花卉
floral background,花卉背景
floral cluster,花簇
floral pattern,花卉图案
floral pillow,花卉靠枕
floral shirt,花衬衫
flou,模糊
flower,花
flower baskets,花篮
flower bed,花坛
flower bouquet,花束
flower boxes,花箱
flower bud,花苞
flower buds,花苞
flower carpet,花毯
flower cluster,花簇
flower field,花田
flower macro,花卉微距
flower pot,花盆
flower spikes,花穗
flowering,开花
flowering plant,开花植物
flowering plants,开花植物
flowering shrub,开花灌木
flowering shrubs,开花灌木
flowering tree,开花树木
flowerpots,花盆
flowers,花朵
flowing water,流水
fluffy,蓬松
fluffy seed heads,毛茸茸的穗
flysch formation,复理石地层
flysch rock,复理石
flysch rock formation,复理石地层
foam,泡沫
fog,雾
foggy hillside,雾中山坡
foi,信仰
folding knife,折叠刀
foliage,叶丛
fond,背景
fond d'écran,壁纸
food,食物
food corner,美食角
food photography,美食摄影
football,足球
footbridge,人行桥
foothills,山麓
footpath,小径
forecourt,前院
foreground focus,前景对焦
foreshore,前滩
forest,森林
forest adventure,森林探险
forest background,森林背景
forest floor,林地
forest path,森林小径
fork,叉子
formal garden,规整式花园
fortification,防御工事
fortress,要塞
fossil,化石
fougères,富热尔
fougères castle,富热尔城堡
foule,人群
fountain,喷泉
foz,福斯
frame,画框
framed view,框景
francais,法国
france,法国
france nature,法国自然
française,法国
frayed fabric,磨损的布料
free,自由
freedom,自由
freight wagons,货运车厢
french,法国
french architecture,法国建筑
french bulldog,法国斗牛犬
french countryside,法国乡村
french cuisine,法国菜
french flag,法国国旗
french flags,法国国旗
french food,法国美食
french heritage,法国遗产
french house,法式房屋
french pastry,法式糕点
french republic,法兰西共和国
french style,法式风格
french town,法国小镇
fresh,新鲜
fresh cream,鲜奶油
freshwater,淡水
fried food,油炸食品
friends,朋友
from behind,背影
fronds,蕨叶
front garden,前院花园
front lawn,前院草坪
frosted glass,磨砂玻璃
frozen,冰冻
fruit,水果
fruit crate,水果箱
fruit tree,果树
fuel,燃料
fujifilm,富士胶片
full frame,满幅
full moon,满月
fun,有趣
funfair,游乐场
funny,有趣
funny animal,搞笑动物
fur,毛皮
fur animal,皮毛动物
fur rug,毛皮地毯
fur texture,皮毛纹理
futuristic,未来主义
gable dormers,老虎窗
gaiwan,盖碗
galaxy,银河
galicia,加利西亚
game night,游戏之夜
game pieces,游戏棋子
game tile,游戏牌
game tiles,游戏牌
games,游戏
gaming,游戏
garden,花园
garden ambience,花园氛围
garden bird,花园鸟类
garden chair,花园椅
garden cushion,花园坐垫
garden design,花园设计
garden flowers,花园花卉
garden hedge,花园树篱
garden path,花园小径
garden paths,花园小径
garden pergolas,花园凉亭
garden shed,花园棚屋
gardening,园艺
gardens,花园
garlands,花环
garnier,加尼耶
garnish,装饰配菜
garonne river,加龙河
gas,天然气
gas flare,燃气火炬
gastronomy,法式美食
gate,大门
gathering,聚会
gaze,凝视
gears,齿轮
gemstone,宝石
geology,地质
geometric,几何
geometric gardens,几何花园
geometric lines,几何线条
geometric pattern,几何图案
geometric patterns,几何图案
geometry,几何
geraniums,天竺葵
getaway,度假
gherkins,酸黄瓜
giant perspective,巨物视角
giant teddy bear,巨型泰迪熊
gift,礼物
gift wrap,礼品包装纸
gijon,希洪
gilded,镀金
ginger cat,橘猫
ginger kitten,橘色小猫
gingham bow,格子蝴蝶结
gipuzkoa,吉普斯夸
gironde,吉伦特省
girondins,吉伦特人
glass,玻璃
glass carafe,玻璃水瓶
glass facade,玻璃幕墙
glass recycling bank,玻璃回收箱
glass roof,玻璃屋顶
glass shelving,玻璃架
glass vase,玻璃花瓶
glass window,玻璃窗
glass windows,玻璃窗
glasses,眼镜
glasshouse,玻璃房
globe thistle,蓝刺头
glow,光辉
glowing bulb,发光的灯泡
glowing light,发光
gnarled wood,虬曲的木头
gnawed,啃咬过的
gold,金色
gold accents,金色点缀
gold bow,金色蝴蝶结
gold foil,金箔
gold ingot,元宝
gold ribbon,金色丝带
gold rings,金戒指
gold tinsel,金色彩带
golden,金色
golden horn,金色的角
golden hour,黄金时刻
golden light,金色光线
golden statue,金色雕像
golden sunset,金色日落
